1	Marco	Garcia	Mejia	0	March	1/2/1996	marco.ga@gmail.com	avatar1.jpg	1
2	Fernanda	Zamorano	Gonzalez	1	Fernie	1/3/1996	fernanda.za@gmail.com	avatar2.jpg	2
3	Juan	Pino	Bravo	0	Juanpi	1/4/1996	juan.pi@gmail.com	avatar3.jpg	3
4	Jose	Ayala	Aguilar	0	Mijin	1/5/1996	jose.ay@gmail.com	avatar4.jpg	1
5	Josue	Valdivia	Rivera	0	Ifi	1/6/1996	josue.va@gmail.com	avatar5.jpg	2
6	Sergio	Mercado	Silvano	0	Chepo	1/7/1996	sergio.me@gmail.com	avatar6.jpg	3
7	Diego	Gonzalez	Diaz	0	Joven	1/8/1996	diego.go@gmail.com	avatar7.jpg	1
8	Federico	Ortuño	Nieto	0	Quico	1/9/1996	federico.or@gmail.com	avatar8.jpg	2
9	Sofia	Soto	Ortiz	1	Claudette	4/10/1997	sofia.so@gmail.com	avatar9.jpg	3
10	Claudio	Soto	Ortiz	0	Normie	3/5/1997	claudio.so@gmail.com	avatar10.jpg	1
11	Marcela	Villers	Ramirez	1	Marce	4/7/1997	marcela.vi@gmail.com	avatar1.jpg	2
12	Eduardo	Larios	Flores	0	Salt	2/5/1997	eduardo.la@gmail.com	avatar2.jpg	3
13	Iancarlo	Romero	Galvan	0	Iancarlin	3/7/1998	iancarlo.ro@gmail.com	avatar3.jpg	1
14	Paul	Ponce	Perez	0	Kuro	2/7/1998	paul.po@gmail.com	avatar4.jpg	2
15	Mariana	Gonzalez	Diaz	1	Jovencita	3/6/1997	mariana.go@gmail.com	avatar5.jpg	3
16	Flor	Ahidali	Rodriguez	1	flah29	17/8/1998	flor.ah@gmail.com	avatar6.jpg	1
17	Dario	Solis	Olviera	0	Daro	9/11/1998	dario.so@gmail.com	avatar7.jpg	2
18	Luis	Garcia	Orosco	0	Gatica	6/9/1998	luis.ga@gmail.com	avatar8.jpg	3
19	Karla	Canseco	Lopez	1	Karlita	3/4/1997	karla.ca@gmail.com	avatar9.jpg	1
20	Daniela	Zavala	Vazquez	1	Tony	2/4/1997	daniela.za@gmail.com	avatar10.jpg	2
